ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;JANUARY;Primera Quincena;1Q;CHEVROLET;AVEO EMOTION;AVEO EMOTION;2010;Particular;Automóvil;B;Medio;Medium;COUPE;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;CHEVROLET;AVEO EMOTION;AVEO EMOTION;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;2
2011;1;JANUARY;Primera Quincena;1Q;CHEVROLET;AVEO EMOTION;AVEO EMOTION;2010;Particular;Automóvil;B;Medio;Medium;SEDAN;;CBU;IMPORTADO;Quindio;1
2011;1;JANUARY;Primera Quincena;1Q;CHEVROLET;AVEO EMOTION;AVEO EMOTION;2010;Particular;Automóvil;B;Medio;Medium;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;MAZDA;3;3;2010;Particular;Automóvil;C;Medio;Medium;SEDAN;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;MAZDA;3;3;2010;Particular;Automóvil;C;Medio;Medium;SEDAN;;CBU;IMPORTADO;Antioquia;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Particular;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Santander;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;ATOS;2010;Público;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;JANUARY;Primera Quincena;1Q;HYUNDAI;ATOS PRIME GL;;2009;Público;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Antioquia;1
